state,county,site_type,site_version,captcha_protected,home_url
ia,webster,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,winnebago,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,winneshiek,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,woodbury,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,worth,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,wright,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide

ok,adair,oscn,1,,
ok,alfalfa,oscn,1,,
ok,atoka,oscn,1,,
ok,beaver,oscn,1,,
ok,beckham,oscn,1,,
ok,blaine,oscn,1,,
ok,bristow,oscn,1,,
ok,bryan,oscn,1,,
ok,caddo,oscn,1,,
ok,canadian,oscn,1,,
ok,carter,oscn,1,,
ok,cherokee,oscn,1,,
ok,choctaw,oscn,1,,
ok,cimarron,oscn,1,,
ok,cleveland,oscn,1,,
ok,coal,oscn,1,,
ok,comanche,oscn,1,,
ok,cotton,oscn,1,,
ok,craig,oscn,1,,
ok,creek,oscn,1,,
ok,custer,oscn,1,,
ok,delaware,oscn,1,,
ok,dewey,oscn,1,,
ok,drumright,oscn,1,,
ok,ellis,oscn,1,,
ok,garfield,oscn,1,,
ok,garvin,oscn,1,,
ok,grady,oscn,1,,
ok,grant,oscn,1,,
ok,greer,oscn,1,,
ok,harmon,oscn,1,,
ok,harper,oscn,1,,
ok,haskell,oscn,1,,
ok,henryetta,oscn,1,,
ok,hughes,oscn,1,,
ok,jackson,oscn,1,,
ok,jefferson,oscn,1,,
ok,johnston,oscn,1,,
ok,kay,oscn,1,,
ok,kingfisher,oscn,1,,
ok,kiowa,oscn,1,,
ok,latimer,oscn,1,,
ok,leflore,oscn,1,,
ok,lincoln,oscn,1,,
ok,logan,oscn,1,,
ok,love,oscn,1,,
ok,major,oscn,1,,
ok,marshall,oscn,1,,
ok,mayes,oscn,1,,
ok,mcclain,oscn,1,,
ok,mccurtain,oscn,1,,
ok,mcintosh,oscn,1,,
ok,murray,oscn,1,,
ok,muskogee,oscn,1,,
ok,noble,oscn,1,,
ok,nowata,oscn,1,,
ok,okfuskee,oscn,1,,
ok,oklahoma,oscn,1,,
ok,okmulgee,oscn,1,,
ok,osage,oscn,1,,
ok,ottawa,oscn,1,,
ok,payne,oscn,1,,
ok,pawnee,oscn,1,,
ok,pittsburg,oscn,1,,
ok,ponca city,oscn,1,,
ok,pontotoc,oscn,1,,
ok,pottawatomie,oscn,1,,
ok,pushmataha,oscn,1,,
ok,roger mills,oscn,1,,
ok,rogers,oscn,1,,
ok,seminole,oscn,1,,
ok,sequoyah,oscn,1,,
ok,stephens,oscn,1,,
ok,texas,oscn,1,,
ok,tillman,oscn,1,,
ok,tulsa,oscn,1,,
ok,wagoner,oscn,1,,
ok,washington,oscn,1,,
ok,washita,oscn,1,,
ok,woods,oscn,1,,
ok,woodward,oscn,1,,
wa,adams,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,asotin,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,benton,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,chelan,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,clallam,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,clark,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,columbia,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,cowlitz,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,douglas,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,ferry,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,franklin,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,garfield,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,grant,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,grays harbor,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,island,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,jefferson,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,kitsap,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,kittitas,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,klickatat,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,lewis,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,lincoln,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,mason,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,okanogan,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,pacific,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,pend oreille,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,san juan,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,skagit,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,skamania,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,snohomish,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,spokane,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,stevens,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,thurston,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,wahkiakum,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,walla walla,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,whatcom,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,whitman,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wa,yakima,odyssey,1,True,https://odysseyportal.courts.wa.gov/ODYPORTAL/Home/Dashboard/29
wi,adams,wicourts,1,True,
wi,ashland,wicourts,1,True,
wi,barron,wicourts,1,True,
wi,bayfield,wicourts,1,True,
wi,brown,wicourts,1,True,
wi,buffalo,wicourts,1,True,
wi,burnett,wicourts,1,True,
wi,calumet,wicourts,1,True,
wi,chippewa,wicourts,1,True,
wi,clark,wicourts,1,True,
wi,columbia,wicourts,1,True,
wi,crawford,wicourts,1,True,
wi,dane,wicourts,1,True,
wi,dodge,wicourts,1,True,
wi,door,wicourts,1,True,
wi,douglas,wicourts,1,True,
wi,dunn,wicourts,1,True,
wi,eau claire,wicourts,1,True,
wi,florence,wicourts,1,True,
wi,fond du lac,wicourts,1,True,
wi,forest,wicourts,1,True,
wi,grant,wicourts,1,True,
wi,green,wicourts,1,True,
wi,green lake,wicourts,1,True,
wi,iowa,wicourts,1,True,
wi,iron,wicourts,1,True,
wi,jackson,wicourts,1,True,
wi,jefferson,wicourts,1,True,
wi,juneau,wicourts,1,True,
wi,kenosha,wicourts,1,True,
wi,kewaunee,wicourts,1,True,
wi,la crosse,wicourts,1,True,
wi,lafayette,wicourts,1,True,
wi,langlade,wicourts,1,True,
wi,lincoln,wicourts,1,True,
wi,manitowoc,wicourts,1,True,
wi,marathon,wicourts,1,True,
wi,marinette,wicourts,1,True,
wi,marquette,wicourts,1,True,
wi,menominee,wicourts,1,True,
wi,milwaukee,wicourts,1,True,
wi,monroe,wicourts,1,True,
wi,oconto,wicourts,1,True,
wi,oneida,wicourts,1,True,
wi,outagamie,wicourts,1,True,
wi,ozaukee,wicourts,1,True,
wi,pepin,wicourts,1,True,
wi,pierce,wicourts,1,True,
wi,polk,wicourts,1,True,
wi,portage,wicourts,1,True,
wi,price,wicourts,1,True,
wi,racine,wicourts,1,True,
wi,richland,wicourts,1,True,
wi,rock,wicourts,1,True,
wi,rusk,wicourts,1,True,
wi,sauk,wicourts,1,True,
wi,sawyer,wicourts,1,True,
wi,shawano,wicourts,1,True,
wi,sheboygan,wicourts,1,True,
wi,st croix,wicourts,1,True,
wi,taylor,wicourts,1,True,
wi,trempealeau,wicourts,1,True,
wi,vernon,wicourts,1,True,
wi,vilas,wicourts,1,True,
wi,walworth,wicourts,1,True,
wi,washburn,wicourts,1,True,
wi,washington,wicourts,1,True,
wi,waukesha,wicourts,1,True,
wi,waupaca,wicourts,1,True,
wi,waushara,wicourts,1,True,
wi,winnebago,wicourts,1,True,
wi,wood,wicourts,1,True,
